rib,stiffness,ks_MN_m3_assumed,x_m,w_mm,rotation_rad,soil_pressure_kPa,M_Gk_kNm,V_Gk_kN
R7,gross_instantaneous,5.0,0.9994426229508198,4.9565289756875535,-5.9311442508111305e-05,24.782644878437768,0.3610354169613857,-0.09123048005399287
R7,gross_instantaneous,5.0,1.0119344262295082,4.9557875415666635,-5.939580008066428e-05,24.778937707833318,0.3598114895942898,-0.10472909636579034
R7,gross_instantaneous,5.0,1.0244262295081967,4.955045055826386,-5.9479812016433915e-05,24.77522527913193,0.35841883888473264,-0.11824393241606698
R7,gross_instantaneous,5.0,1.0369180327868852,4.954301522784347,-5.9563478315420195e-05,24.771507613921738,0.35685726207554064,-0.13177501114671913
R7,gross_instantaneous,5.0,1.0494098360655737,4.953556946758174,-5.9646798977623135e-05,24.76778473379087,0.35512655612354443,-0.14532235540525698
R7,gross_instantaneous,5.0,1.0494098360655737,4.953556946758175,-5.96467989775671e-05,24.767784733790876,0.35512655612354443,-0.14532235540525698
R7,gross_instantaneous,5.0,1.0619016393442622,4.95281133239419,-5.9729694962673824e-05,24.76405666197095,0.35322651770076174,-0.1588859879430105
R7,gross_instantaneous,5.0,1.074393442622951,4.9520646856585735,-5.9812086824136425e-05,24.760323428292867,0.35115694319569835,-0.17246593139532074
R7,gross_instantaneous,5.0,1.0868852459016394,4.951317012848738,-5.98939745619549e-05,24.75658506424369,0.34891762871494536,-0.18606220826167574
R7,gross_instantaneous,5.0,1.0993770491803279,4.950568320262098,-5.997535817612926e-05,24.75284160131049,0.3465083700848946,-0.19967484090389798
R7,gross_instantaneous,5.0,1.0993770491803279,4.950568320262098,-5.997535817610359e-05,24.75284160131049,0.3465083700848946,-0.19967484090389798
R7,gross_instantaneous,5.0,1.1118688524590163,4.949818614526346,-6.0056158245517766e-05,24.749093072631727,0.34392896285346275,-0.21330385154434156
R7,gross_instantaneous,5.0,1.1243606557377048,4.949067903595392,-6.013629494057327e-05,24.74533951797696,0.34117920229193305,-0.22694926224598827
R7,gross_instantaneous,5.0,1.1368524590163935,4.948316195755979,-6.021576826127009e-05,24.741580978779893,0.33825888339709537,-0.2406110948924875
R7,gross_instantaneous,5.0,1.149344262295082,4.947563499294849,-6.029457820760824e-05,24.737817496474243,0.33516780089350495,-0.25428937118633516
R7,gross_instantaneous,5.0,1.149344262295082,4.947563499294849,-6.029457820763301e-05,24.737817496474243,0.33516780089350495,-0.25428937118633516
